feature,clip_percentile,gs_raw,gs_clipped,clip_threshold,bias_bound,relative_bias_pct,noise_reduction
logged_in,99.0,0.05936986497106523,7.938208981289641e-06,1.0,18.40219729624602,6589.857297174369,7479.0
logged_in,99.5,0.05936986497106523,7.938208981289641e-06,1.0,18.40219729624602,6589.857297174369,7479.0
num_compromised,90.0,7.938208981289641e-06,1e-10,1e-10,0.0013415573177037938,99.99999998999999,79382.0898128964
num_compromised,95.0,7.938208981289641e-06,1e-10,1e-10,0.0013415573177037938,99.99999998999999,79382.0898128964
num_compromised,99.0,7.938208981289641e-06,1e-10,1e-10,0.0013415573177037938,99.99999998999999,79382.0898128964
num_compromised,99.5,7.938208981289641e-06,1e-10,1e-10,0.0013415573177037938,99.99999998999999,79382.0898128964
root_shell,90.0,1.5876417962579282e-05,1e-10,1e-10,0.001270113436942837,115.10791366330935,158764.1796257928
root_shell,95.0,1.5876417962579282e-05,1e-10,1e-10,0.001270113436942837,115.10791366330935,158764.1796257928
root_shell,99.0,1.5876417962579282e-05,1e-10,1e-10,0.001270113436942837,115.10791366330935,158764.1796257928
root_shell,99.5,1.5876417962579282e-05,1e-10,1e-10,0.001270113436942837,115.10791366330935,158764.1796257928
su_attempted,90.0,0.059282544672271044,1e-10,1e-10,38.47437149230339,12731.774718923862,592825446.7227104
su_attempted,95.0,0.059282544672271044,1e-10,1e-10,38.47437149230339,12731.774718923862,592825446.7227104
su_attempted,99.0,0.059282544672271044,1e-10,1e-10,38.47437149230339,12731.774718923862,592825446.7227104
su_attempted,99.5,0.059282544672271044,7.938208981289641e-06,1.0,22.28725203019695,7375.202269622781,7468.000000000001
num_root,90.0,0.0003413429861954546,1e-10,1e-10,0.09796543703786764,773.2456140332896,3413429.8619545456
num_root,95.0,0.0003413429861954546,1e-10,1e-10,0.09796543703786764,773.2456140332896,3413429.8619545456
num_root,99.0,0.0003413429861954546,1e-10,1e-10,0.09796543703786764,773.2456140332896,3413429.8619545456
num_root,99.5,0.0003413429861954546,1e-10,1e-10,0.09796543703786764,773.2456140332896,3413429.8619545456
num_file_creations,90.0,1.5876417962579282e-05,1e-10,1e-10,0.0007461916442039168,180.7692307601923,158764.1796257928
num_file_creations,95.0,1.5876417962579282e-05,1e-10,1e-10,0.0007461916442039168,180.7692307601923,158764.1796257928
num_file_creations,99.0,1.5876417962579282e-05,1e-10,1e-10,0.0007461916442039168,180.7692307601923,158764.1796257928
num_file_creations,99.5,1.5876417962579282e-05,1e-10,1e-10,0.0007461916442039168,180.7692307601923,158764.1796257928
num_shells,90.0,7.144388083160678e-05,1e-10,1e-10,0.026505679788231606,647.0930232486241,714438.8083160678
num_shells,95.0,7.144388083160678e-05,1e-10,1e-10,0.026505679788231606,647.0930232486241,714438.8083160678
num_shells,99.0,7.144388083160678e-05,1e-10,1e-10,0.026505679788231606,647.0930232486241,714438.8083160678
num_shells,99.5,7.144388083160678e-05,1e-10,1e-10,0.026505679788231606,647.0930232486241,714438.8083160678
num_access_files,90.0,0.0,1e-10,1e-10,-0.0,0.0,0.0
num_access_files,95.0,0.0,1e-10,1e-10,-0.0,0.0,0.0
num_access_files,99.0,0.0,1e-10,1e-10,-0.0,0.0,0.0
num_access_files,99.5,0.0,1e-10,1e-10,-0.0,0.0,0.0
num_outbound_cmds,90.0,7.938208981289641e-06,1e-10,1e-10,7.93820898049582e-06,99.99999998999999,79382.0898128964
num_outbound_cmds,95.0,7.938208981289641e-06,1e-10,1e-10,7.93820898049582e-06,99.99999998999999,79382.0898128964
num_outbound_cmds,99.0,7.938208981289641e-06,1e-10,1e-10,7.93820898049582e-06,99.99999998999999,79382.0898128964
num_outbound_cmds,99.5,7.938208981289641e-06,1e-10,1e-10,7.93820898049582e-06,99.99999998999999,79382.0898128964
is_host_login,90.0,7.938208981289641e-06,1e-10,1e-10,0.009422654059848538,99.99999998999999,79382.0898128964
is_host_login,95.0,7.938208981289641e-06,1e-10,1e-10,0.009422654059848538,99.99999998999999,79382.0898128964
is_host_login,99.0,7.938208981289641e-06,1e-10,1e-10,0.009422654059848538,99.99999998999999,79382.0898128964
is_host_login,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
is_guest_login,90.0,0.004056424789439007,0.002032181499210148,256.0,25.46498059107904,30.276686385193557,1.99609375
is_guest_login,95.0,0.004056424789439007,0.0022703277686488377,286.0,11.023790812316925,13.106778385585056,1.7867132867132864
is_guest_login,99.0,0.004056424789439007,0.004056424789439007,511.0,0.0,0.0,1.0
is_guest_login,99.5,0.004056424789439007,0.004056424789439007,511.0,0.0,0.0,1.0
count,90.0,0.004056424789439007,0.00031752835925158565,40.0,46.63899407015789,168.14183402614316,12.775
count,95.0,0.004056424789439007,0.0012542370190437634,158.0,17.39037730307288,62.695390251057106,3.2341772151898733
count,99.0,0.004056424789439007,0.0039055988187945037,492.0,0.18988989704142953,0.6845867109301778,1.0386178861788617
count,99.5,0.004056424789439007,0.004056424789439007,511.0,0.0,0.0,1.0
srv_count,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_count,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_count,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
