feature,mechanism,epsilon,global_sensitivity,local_sensitivity,post_mean_error,post_std_error,agg_mean_error,agg_std_error,shuffle_mean_error,shuffle_std_error,noise_variance
dst_bytes,laplace,0.5,7.938208981289641e-06,7.936633602243876e-06,1.6746349846451598e-05,1.60613166172537e-05,1.768561562063163e-05,1.471728942024573e-05,0.0001985143479676823,2.3219042344862218e-07,5.041212946450202e-10
dst_bytes,laplace,1.0,7.938208981289641e-06,7.936633602243876e-06,6.975515614811832e-06,5.768786404036335e-06,9.026974870795973e-06,8.536857082671785e-06,0.00019843330969754284,1.4277958745340204e-07,1.2603032366125505e-10
dst_bytes,laplace,2.0,7.938208981289641e-06,7.936633602243876e-06,3.876219194220941e-06,3.97303930885375e-06,3.7585770652472663e-06,3.752280365885729e-06,0.00019847904883131187,7.659166017192682e-08,3.150758091531376e-11
dst_bytes,laplace,5.0,7.938208981289641e-06,7.936633602243876e-06,1.4492781235274254e-06,1.580398276336898e-06,1.6048651205696976e-06,1.372822685583827e-06,0.00019845606876422382,3.298346762351235e-08,5.0412129464502014e-12
dst_bytes,gaussian,0.1,7.938208981289641e-06,7.936633602243876e-06,0.0003329653083767856,0.0002848941595716719,0.0002886425925821284,0.00023631081943396582,0.00019658130612945884,4.317038568732857e-06,1.4791005766331545e-07
dst_bytes,gaussian,0.3,7.938208981289641e-06,7.936633602243876e-06,8.057805316169235e-05,6.173706788170859e-05,9.981395824811398e-05,7.52850213857861e-05,0.00019813674768931087,1.7710630135678588e-06,1.6434450851479494e-08
dst_bytes,gaussian,0.5,7.938208981289641e-06,7.936633602243876e-06,7.150004228140113e-05,4.490100011706994e-05,6.13326261641479e-05,5.213554131340565e-05,0.00019830203477832752,1.2646656385807883e-06,5.916402306532618e-09
dst_bytes,gaussian,1.0,7.938208981289641e-06,7.936633602243876e-06,3.146927549716658e-05,1.931131998269271e-05,2.994209709216933e-05,2.4444147560546622e-05,0.00019835993214470065,5.183761311445765e-07,1.4791005766331546e-09
dst_bytes,gaussian,2.0,7.938208981289641e-06,7.936633602243876e-06,2.130960644064054e-05,1.4558547127366892e-05,1.2592506883608318e-05,9.53975231386366e-06,0.00019842331645240013,2.6915795594720333e-07,3.6977514415828864e-10
dst_bytes,gaussian,5.0,7.938208981289641e-06,7.936633602243876e-06,5.181741342427707e-06,3.886240460322664e-06,5.808882528405213e-06,5.4105078974106546e-06,0.00019846519781188142,9.437231827244086e-08,5.916402306532617e-11
land,laplace,0.1,2.3814626943868923e-05,2.3634529611356992e-05,0.00019128455152357774,0.00018646255916816956,0.00021424533852994638,0.00014848706272978246,0.00571278483199033,5.587676237063657e-06,1.1342729129512953e-07
land,laplace,0.3,2.3814626943868923e-05,2.3634529611356992e-05,7.233443260356009e-05,7.233892641624166e-05,6.175492944684446e-05,6.479302061177104e-05,0.005712983312970947,1.4596124943616496e-06,1.2603032366125504e-08
land,laplace,0.5,2.3814626943868923e-05,2.3634529611356992e-05,3.36009752621948e-05,3.090310249999612e-05,3.360345197832293e-05,3.200756495077138e-05,0.0057123498278006,7.694332413131746e-07,4.537091651805182e-09
land,laplace,1.0,2.3814626943868923e-05,2.3634529611356992e-05,2.3946479215611557e-05,2.5771634112824564e-05,2.253053843106652e-05,2.525548194460447e-05,0.005712568035077068,6.021970986770256e-07,1.1342729129512954e-09
land,laplace,2.0,2.3814626943868923e-05,2.3634529611356992e-05,1.0518651884409749e-05,9.768938024605194e-06,9.688405273487397e-06,1.1588003420794345e-05,0.005712591666719561,2.025982635583365e-07,2.8356822823782386e-10
land,laplace,5.0,2.3814626943868923e-05,2.3634529611356992e-05,5.7025663135334736e-06,6.109570268247107e-06,3.7631383428963125e-06,2.8368355675567086e-06,0.005712582830898873,1.0600400333583318e-07,4.537091651805182e-11
land,gaussian,0.1,2.3814626943868923e-05,2.3634529611356992e-05,0.0008953357676884966,0.0007257162768634335,0.0009900763047695426,0.0006058623626450872,0.005715994293364455,1.3130425081573297e-05,1.3311905189698391e-06
land,gaussian,0.3,2.3814626943868923e-05,2.3634529611356992e-05,0.00030774203760736374,0.0002374714083208993,0.000246949733597159,0.00019267116747034426,0.005711421250158077,6.091490578937549e-06,1.4791005766331547e-07
land,gaussian,0.5,2.3814626943868923e-05,2.3634529611356992e-05,0.00022621251862035355,0.0001559119915292888,0.00018587898349572523,0.00013738848684020452,0.0057128655000208296,2.7142177936515325e-06,5.324762075879356e-08
land,gaussian,1.0,2.3814626943868923e-05,2.3634529611356992e-05,8.690092832629887e-05,6.935641438072328e-05,8.189793676004024e-05,6.090598244945482e-05,0.005712554287282313,1.5922060277094516e-06,1.331190518969839e-08
land,gaussian,2.0,2.3814626943868923e-05,2.3634529611356992e-05,4.004806681721986e-05,2.421746579330928e-05,4.285025242112238e-05,3.55032872195517e-05,0.005712658270716272,7.8867917058879e-07,3.3279762974245975e-09
land,gaussian,5.0,2.3814626943868923e-05,2.3634529611356992e-05,2.1191416563634316e-05,1.585487233966699e-05,1.7078874597473147e-05,1.613347453744472e-05,0.005712613182484101,3.349363424709044e-07,5.324762075879357e-10
wrong_fragment,laplace,0.1,2.3814626943868923e-05,2.3813744731603294e-05,0.0002725329328023484,0.0002901391217643883,0.00026501411998065713,0.0002742560438703619,8.928465022847123e-05,4.634907400509426e-06,1.1342729129512953e-07
wrong_fragment,laplace,0.3,2.3814626943868923e-05,2.3813744731603294e-05,5.7652854844038204e-05,4.5288184506094645e-05,6.704754380465458e-05,6.751407293698985e-05,8.871724241621546e-05,1.626183552474402e-06,1.2603032366125504e-08
wrong_fragment,laplace,0.5,2.3814626943868923e-05,2.3813744731603294e-05,5.416623565580375e-05,5.867169519873061e-05,4.693428348707107e-05,4.84448442568316e-05,8.886404388378717e-05,8.610516423358579e-07,4.537091651805182e-09
wrong_fragment,laplace,1.0,2.3814626943868923e-05,2.3813744731603294e-05,3.068405159159251e-05,3.061678090460959e-05,2.6768125879352913e-05,2.547397317916146e-05,8.888204163350942e-05,4.2304610076967545e-07,1.1342729129512954e-09
wrong_fragment,laplace,2.0,2.3814626943868923e-05,2.3813744731603294e-05,1.0538880899867038e-05,1.0767352906762187e-05,9.574032847014066e-06,1.0351965587766368e-05,8.882998005969934e-05,2.0900777002952352e-07,2.8356822823782386e-10
wrong_fragment,laplace,5.0,2.3814626943868923e-05,2.3813744731603294e-05,4.310752310427079e-06,4.873522866151451e-06,4.609160173300143e-06,4.098750235661873e-06,8.887045083297851e-05,8.044160568098702e-08,4.537091651805182e-11
wrong_fragment,gaussian,0.1,2.3814626943868923e-05,2.3813744731603294e-05,0.00089553389049961,0.0006534757911610294,0.0008064950640645415,0.0007549556774041593,9.121309759959752e-05,1.6602134389233782e-05,1.3311905189698391e-06
wrong_fragment,gaussian,0.3,2.3814626943868923e-05,2.3813744731603294e-05,0.0003268630571299014,0.00024311354566659306,0.0002794823239731764,0.00020867291204851386,8.815825187670003e-05,5.366413478910409e-06,1.4791005766331547e-07
wrong_fragment,gaussian,0.5,2.3814626943868923e-05,2.3813744731603294e-05,0.00015347391152968287,0.00011264612835284332,0.00016442367182371116,0.00013850007530143518,8.834059631171057e-05,3.894138896400027e-06,5.324762075879356e-08
wrong_fragment,gaussian,1.0,2.3814626943868923e-05,2.3813744731603294e-05,8.797483272686707e-05,6.80719194496275e-05,9.102098278865106e-05,7.463816005419831e-05,8.87126113168821e-05,1.7493587699747602e-06,1.331190518969839e-08
wrong_fragment,gaussian,2.0,2.3814626943868923e-05,2.3813744731603294e-05,5.646507763650082e-05,4.2932997287550917e-05,5.112747764005546e-05,4.557791051727067e-05,8.882553333252981e-05,8.07972973048561e-07,3.3279762974245975e-09
